"bron","text"
"BurgelijkWetboek01","Indien een kind door adoptie in familierechtelijke betrekking komt te staan tot beide adoptanten van verschillend geslacht, die met elkaar zijn gehuwd, heeft het kind de geslachtsnaam van de vader, tenzij de adoptanten ter gelegenheid van de adoptie gezamenlijk verklaren dat het kind de geslachtsnaam van de moeder, de oorspronkelijke geslachtsnaam of de geslachtsnaam van beide adoptanten in een vrij te bepalen volgorde of van één van hen in combinatie met de oorspronkelijke geslachtsnaam van het kind in een vrij te bepalen volgorde zal hebben. Indien de adoptanten niet met elkaar gehuwd zijn of indien beide adoptanten van hetzelfde geslacht zijn en met elkaar gehuwd zijn, houdt het kind de geslachtsnaam die het heeft, tenzij de adoptanten ter gelegenheid van de adoptie gezamenlijk verklaren dat het een van hun beider geslachtsnamen zal hebben of van hun beiden in een vrij te bepalen volgorde of van één van hen in combinatie met de oorspronkelijke geslachtsnaam van het kind in een vrij te bepalen volgorde. Indien een kind door adoptie in familierechtelijke betrekking tot de echtgenoot, geregistreerde partner of andere levensgezel van een ouder komt te staan, houdt het zijn geslachtsnaam, tenzij de ouder en diens echtgenoot, geregistreerde partner of andere levensgezel gezamenlijk verklaren dat het kind de geslachtsnaam zal hebben van die ouder dan wel de geslachtsnaam van de echtgenoot, geregistreerde partner of andere levensgezel of van hun beiden in een vrij te bepalen volgorde of van één van hen in combinatie met de oorspronkelijke geslachtsnaam van het kind in een vrij te bepalen volgorde, dan wel de geslachtsnaam van die ouder. De rechterlijke uitspraak inzake de adoptie vermeldt de verklaring van de adoptanten omtrent de geslachtsnaamkeuze."
"BurgelijkWetboek01","Indien een kind door geboorte in familierechtelijke betrekking tot beide ouders komt te staan, verklaren de ouders gezamenlijk voor of ter gelegenheid van de aangifte van de geboorte welke geslachtsnaam het kind zal hebben. Dat kan de geslachtsnaam zijn van één van de ouders of de geslachtsnamen van beide ouders in een vrij te bepalen volgorde. Van de verklaring van de ouders die voor de aangifte van de geboorte wordt afgelegd, wordt een akte van naamskeuze opgemaakt. Van de verklaring van de ouders die ter gelegenheid van de aangifte van de geboorte wordt afgelegd, wordt melding gemaakt in de akte van geboorte. Het voorgaande is van overeenkomstige toepassing indien een ouder en zijn echtgenoot of geregistreerde partner die niet de ouder is, van rechtswege gezamenlijk het gezag als bedoeld in artikel 253sa over het kind zullen uitoefenen of uitoefenen. De verklaring die niet ter gelegenheid van de aangifte van de geboorte wordt afgelegd, kan ten overstaan van iedere ambtenaar van de burgerlijke stand worden afgelegd."
"BurgelijkWetboek01","Wordt een verklaring houdende naamskeuze, bedoeld in het vierde lid, voor of ter gelegenheid van de aangifte van de geboorte afgelegd, dan heeft het kind de gekozen naam vanaf de geboorte. Geschiedt de naamskeuze niet uiterlijk ter gelegenheid van de aangifte van de geboorte, dan neemt de ambtenaar van de burgerlijke stand als geslachtsnaam van het kind in de geboorteakte op:"
"BurgelijkWetboek01","de geslachtsnaam van de vader in geval het kind door geboorte in familierechtelijke betrekking tot beide ouders komt te staan;"
"BurgelijkWetboek01","de geslachtsnaam van de moeder in geval een ouder en zijn echtgenoot of geregistreerde partner die niet de ouder is, van rechtswege gezamenlijk het gezag als bedoeld in artikel 253sa over het kind uitoefenen."
"BurgelijkWetboek01","Indien de moeder na de geboorte van het kind op grond van artikel 199, onderdeel b, het vaderschap van de overleden echtgenoot of geregistreerde partner ontkent of op grond van artikel 198, tweede lid, het moederschap van de overleden echtgenote of geregistreerde parnter ontkent en zij ten tijde van de geboorte en van de ontkenning is hertrouwd of een nieuw partnerschap heeft laten registreren, kunnen de moeder en haar echtgenoot of geregistreerde partner gezamenlijk ter gelegenheid van de ontkenning verklaren welke geslachtsnaam het kind zal hebben. Dat kan de geslachtsnaam zijn van de moeder of de echtgenoot of echtgenote of geregistreerde partner, of van beide in een vrij te bepalen volgorde. Van deze verklaring wordt een akte van naamskeuze opgemaakt. Bij gebreke van een verklaring heeft het kind de geslachtsnaam van de echtgenoot of geregistreerde partner."
"BurgelijkWetboek01","Indien een kind op het tijdstip van het ontstaan van de familierechtelijke betrekking met beide ouders zestien jaar of ouder is, verklaart het zelf ten overstaan van de ambtenaar van de burgerlijke stand of van de notaris of, in geval van adoptie of gerechtelijke vaststelling van het vaderschap, ten overstaan van de rechter of het de geslachtsnaam van de ene of de andere ouder zal hebben of van beide ouders in een vrij te bepalen volgorde of bij adoptie, een geslachtsnaam die is gekozen overeenkomstig het derde lid. Van deze verklaring wordt melding gemaakt in de akte van erkenning of in de rechterlijke uitspraak inzake adoptie of gerechtelijke vaststelling van het vaderschap."
"BurgelijkWetboek01","Een verklaring van de ouders als bedoeld in het tweede, vierde of zesde lid, kan slechts ten aanzien van de geslachtsnaam van hun eerste kind worden afgelegd. De eerste volzin is van overeenkomstige toepassing ten aanzien van het eerste kind over wie de ouder en zijn echtgenoot of geregistreerde partner die niet de ouder is, van rechtswege gezamenlijk het gezag als bedoeld in artikel 253sa zullen uitoefenen of uitoefenen. Onverminderd het zevende lid, hebben volgende kinderen van dezelfde ouders dan wel kinderen over wie dezelfde ouder en dezelfde echtgenoot of geregistreerde partner die niet de ouder is, van rechtswege het gezag gezamenlijk zullen uitoefenen, dezelfde geslachtsnaam als het eerste kind, met dien verstande dat in het geval dat volgende kinderen blijkens de geboorteakte of krachtens toepasselijk recht een naam hebben die afwijkt van de naam van het eerste kind, de ouders kunnen verklaren dat het desbetreffende kind dezelfde geslachtsnaam zal hebben als het eerste kind. Indien een kind door adoptie in familierechtelijke betrekking komt te staan tot zijn adoptanten kan in afwijking van het voorgaande steeds worden gekozen voor de oorspronkelijke geslachtsnaam van het kind of een combinatie van de oorspronkelijke geslachtsnaam met de geslachtsnaam van een der adoptanten, waarbij alle kinderen van die adoptanten met een combinatie van geslachtsnamen tenminste een zelfde geslachtsnaam van de adoptant hebben en alle kinderen die niet door adoptie in familierechtelijke betrekking tot de ouders komen te staan dezelfde geslachtsnaam of gecombineerde geslachtsnaam hebben. De gekozen oorspronkelijke geslachtsnaam van het kind werkt niet door voor volgende kinderen van die adoptanten. Indien voor de geboorte of ter gelegenheid van de aangifte naamskeuze is gedaan ten aanzien van een kind dat levenloos ter wereld komt of is gekomen, wordt deze keuze opgenomen in de akte, bedoeld in artikel 19i, eerste lid, en geldt zij alleen ten aanzien van dit kind."
"BurgelijkWetboek01","Is één van de ouders voorafgaand aan het tijdstip waarop de naamskeuze uiterlijk moet zijn gedaan overleden en is de naamskeuze niet gedaan, dan legt de andere ouder een verklaring omtrent de naamskeuze af. Hetzelfde geldt indien één van de ouders wegens diens lichamelijke of geestelijke toestand onder curatele staat dan wel indien ten aanzien van hem of haar een mentorschap bestaat."
"BurgelijkWetboek01","Zijn de vader en moeder onbekend, dan neemt de ambtenaar van de burgerlijke stand in de geboorteakte een voorlopige voornaam en geslachtsnaam op, in afwachting van het koninklijk besluit waarbij de voornamen en de geslachtsnaam van het kind worden vastgesteld."
"BurgelijkWetboek01","Indien op grond van het tweede tot en met negende lid een kind, wiens vader van adel is, niet zijn geslachtsnaam verkrijgt, gaat de adeldom niet over op dat kind."
"BurgelijkWetboek01","De geslachtsnaam van kinderen geboren uit een huwelijk met een lid van het koninklijk huis wordt bij koninklijk besluit bepaald."
"BurgelijkWetboek01","In het tweede, vijfde en zesde lid wordt onder «moeder» verstaan de vrouw uit wie het kind is geboren. In deze leden wordt met «de vader» van het kind en zijn «vaderschap» gelijkgesteld de moeder die niet de vrouw is uit wie het kind is geboren onderscheidenlijk haar moederschap."
"BurgelijkWetboek01","Wordt voor het kind gekozen voor een combinatie van geslachtsnamen van de ouders, en een ouder heeft een geslachtsnaam die een combinatie is van twee geslachtsnamen van ouders, dan kan maximaal één geslachtsnaam uit de combinatie worden doorgegeven. Dat geldt ook als op grond van het derde lid bij adoptie wordt gekozen voor een geslachtsnaam van één van de ouders in combinatie met de oorspronkelijke geslachtsnaam van het kind, of als die uit een combinatie van twee geslachtsnamen bestaat, één geslachtsnaam uit de combinatie."
"BurgelijkWetboek01","Artikelen IIIa en IIIb van Stb. 2023/116 bevatten overgangsrecht m.b.t. deze wijziging."
"BurgelijkWetboek01","De geslachtsnaam wordt ten aanzien van een ieder dwingend bewezen door de akte van geboorte."
"BurgelijkWetboek01","De geslachtsnaam van een persoon kan op zijn verzoek, of op verzoek van zijn wettelijke vertegenwoordiger, door de Koning worden gewijzigd."
"BurgelijkWetboek01","Hij wiens geslachtsnaam of voornamen niet bekend zijn, kan de Koning verzoeken voor hem een geslachtsnaam of voornamen vast te stellen."
"BurgelijkWetboek01","Een wijziging of vaststelling van de geslachtsnaam door de Koning heeft geen invloed op de geslachtsnaam van de kinderen van de betrokken persoon die voor de datum van het besluit meerderjarig zijn geworden of die niet onder zijn gezag staan."
"BurgelijkWetboek01","Een wijziging of vaststelling van de geslachtsnaam door de Koning blijft in stand niettegenstaande een latere erkenning of een gerechtelijke vaststelling van het ouderschap."
"BurgelijkWetboek01","Bij algemene maatregel van bestuur worden regelen gesteld betreffende de gronden waarop de geslachtsnaamswijziging kan worden verleend, de wijze van indiening en behandeling van verzoeken als in het eerste en het tweede lid bedoeld en betreffende het voor wijziging van de geslachtsnaam verschuldigde recht."
"BurgelijkWetboek01","Indien Onze Minister van Justitie voornemens is een voordracht te doen voor een koninklijk besluit strekkende tot inwilliging van een verzoek als bedoeld in het eerste of tweede lid, deelt hij dit voornemen schriftelijk mee aan de verzoeker en degene wiens geslachtsnaam is verzocht, alsmede, indien het verzoek op de geslachtsnaam van een minderjarige betrekking heeft, zijn ouders en degene aan wie de minderjarige de geslachtsnaam, waarvan wijziging is verzocht, rechtstreeks ontleent. De schriftelijke mededeling van het voornemen geldt als een beschikking."
"BurgelijkWetboek01","Onze Minister van Justitie doet de schriftelijke mededeling van het voornemen binnen twintig weken."
"BurgelijkWetboek01","Abusievelijk is een wijzigingsopdracht geformuleerd die niet geheel juist is."
"BurgelijkWetboek01","Hij die de naam van een ander zonder diens toestemming voert, handelt jegens die persoon onrechtmatig, wanneer hij daardoor de schijn wekt die ander te zijn of tot diens geslacht of gezin te behoren."
"BurgelijkWetboek01","Een vrouw die gehuwd is of die gehuwd is geweest dan wel wier partnerschap geregistreerd is of is geweest en die niet is getrouwd na beëindiging van de registratie of is hertrouwd dan wel niet een geregistreerd partnerschap is aangegaan na beëindiging van het huwelijk of opnieuw is aangegaan, is steeds bevoegd de geslachtsnaam van haar echtgenoot of van haar geregistreerde partner te voeren of aan de hare te doen voorafgaan dan wel die te doen volgen op haar eigen geslachtsnaam."
"BurgelijkWetboek01","Indien het huwelijk door echtscheiding is ontbonden en daaruit geen afstammelingen in leven zijn dan wel indien het geregistreerd partnerschap op de wijze bedoeld in artikel 80c, onder c of d, is beëindigd, kan de rechtbank, wanneer daartoe gegronde redenen bestaan, op verzoek van de gewezen echtgenoot of de gewezen geregistreerde partner aan de vrouw de haar in het eerste lid toegekende bevoegdheid ontnemen."
"BurgelijkWetboek01","Het eerste en tweede lid zijn van overeenkomstige toepassing ten aanzien van de man die gehuwd is of gehuwd is geweest dan wel wiens partnerschap geregistreerd is of is geweest en die niet is getrouwd na beëindiging van de registratie of is hertrouwd dan wel niet een geregistreerd partnerschap is aangegaan na beëindiging van het huwelijk of opnieuw is aangegaan."
"BurgelijkWetboek01","De woonplaats van een natuurlijk persoon bevindt zich te zijner woonstede, en bij gebreke van woonstede ter plaatse van zijn werkelijk verblijf."
"BurgelijkWetboek01","Een rechtspersoon heeft zijn woonplaats ter plaatse waar hij volgens wettelijk voorschrift of volgens zijn statuten of reglementen zijn zetel heeft."
"BurgelijkWetboek01","Een natuurlijk persoon verliest zijn woonstede door daden, waaruit zijn wil blijkt om haar prijs te geven."
"BurgelijkWetboek01","Een natuurlijk persoon wordt vermoed zijn woonstede te hebben verplaatst, wanneer hij daarvan op de wettelijk voorgeschreven wijze aan de betrokken colleges van burgemeester en wethouders heeft kennis gegeven."
"BurgelijkWetboek01","Een minderjarige volgt de woonplaats van hem die het gezag over hem uitoefent, de onder curatele gestelde die van zijn curator. Oefenen beide ouders tezamen het gezag over hun minderjarige kind uit, doch hebben zij niet dezelfde woonplaats, dan volgt het kind de woonplaats van de ouder bij wie het feitelijk verblijft dan wel laatstelijk heeft verbleven."
"BurgelijkWetboek01","Wanneer iemands goederen onder bewind staan, volgt hij voor alles wat de uitoefening van dit bewind betreft, de woonplaats van de bewindvoerder."
"BurgelijkWetboek01","Wanneer ten behoeve van een persoon een mentorschap is ingesteld, volgt hij voor alles wat de uitoefening van dit mentorschap betreft, de woonplaats van de mentor."
"BurgelijkWetboek01","Het eerste, tweede en derde lid zijn niet van toepassing voor zover het betreft de relatieve bevoegdheid van de rechter gedurende een curatele, een bewind als bedoeld in titel 19 en een mentorschap. Hetzelfde geldt indien ten aanzien van een persoon een curatele, een mentorschap of een bewind als bedoeld in titel 19 en tevens een bewind als bedoeld in afdeling 7 van titel 5 van Boek 4 of een bewind als bedoeld in artikel 182 van Boek 7 van kracht zijn en de bevoegde kantonrechter de andere kantonrechter als uitsluitend bevoegde heeft aangewezen."
"BurgelijkWetboek01","Wanneer de persoon, van wie de woonplaats wordt afgeleid, overlijdt of zijn gezag of zijn hoedanigheid verliest, duurt de afgeleide woonplaats voort, totdat een nieuwe woonplaats is verkregen."
"BurgelijkWetboek01","Artikel VI van Stb. 2006/589 bevat overgangsrecht m.b.t. deze wijziging."
"BurgelijkWetboek01","Het sterfhuis van een overledene is daar, waar hij zijn laatste woonplaats heeft gehad."
"BurgelijkWetboek01","Een persoon die een kantoor of een filiaal houdt, heeft ten aanzien van aangelegenheden die dit kantoor of dit filiaal betreffen mede aldaar woonplaats."
"BurgelijkWetboek01","Een persoon kan een andere woonplaats dan zijn werkelijke slechts kiezen, wanneer de wet hem daartoe verplicht, of wanneer de keuze bij schriftelijk of langs elektronische weg aangegane overeenkomst voor een of meer bepaalde rechtshandelingen of rechtsbetrekkingen geschiedt en voor de gekozen woonplaats een redelijk belang aanwezig is. Indien de keuze bij langs elektronische weg aangegane overeenkomst geschiedt, is artikel 227a lid 1 van Boek 6 van overeenkomstige toepassing."
"BurgelijkWetboek01","In elke gemeente zijn twee, of, naar goedvinden van burgemeester en wethouders, meer ambtenaren van de burgerlijke stand. Daarenboven kunnen een of meer ambtenaren van de burgerlijke stand worden belast met het verrichten van bepaalde taken. Deze dragen de titel van buitengewoon ambtenaar van de burgerlijke stand. Een ambtenaar van de burgerlijke stand, die niet voldoet aan het in het tweede lid bedoelde vereiste van aanwijsbaarheid, wordt niet in aanmerking genomen voor de berekening van het in de eerste zin genoemde aantal."
"BurgelijkWetboek01","De in het eerste lid bedoelde ambtenaren worden door burgemeester en wethouders aangewezen. Een aanwijzing kan voor een bepaalde tijdsduur geschieden. De aanwijzing eindigt van rechtswege met ingang van de datum waarop de uitoefening van de functie van ambtenaar van de burgerlijke stand of buitengewoon ambtenaar van de burgerlijke stand eindigt. Als ambtenaar of buitengewoon ambtenaar van de burgerlijke stand is slechts aanwijsbaar de persoon die in de uitoefening van zijn ambt geen onderscheid maakt als bedoeld in artikel 1 van de Algemene wet gelijke behandeling, tenzij het onderscheid is gebaseerd op een wettelijk voorschrift."
"BurgelijkWetboek01","Ambtenaar van de burgerlijke stand van een gemeente kan slechts zijn een ambtenaar in dienst van die gemeente of een andere gemeente. Buitengewoon ambtenaar van de burgerlijke stand kan mede zijn een persoon die geen ambtenaar in gemeentelijke dienst is."
"BurgelijkWetboek01","De ambtenaar of buitengewoon ambtenaar van de burgerlijke stand wordt tot zijn betrekking niet toegelaten dan na voor de rechtbank tot wier rechtsgebied de gemeente behoort waar hij voor het eerst wordt benoemd de navolgende eed dan wel belofte te hebben afgelegd:"
"BurgelijkWetboek01","Ik zweer (beloof) dat ik de betrekking van ambtenaar van de burgerlijke stand met eerlijkheid en nauwkeurigheid zal vervullen en dat ik de wettelijke voorschriften, de burgerlijke stand betreffende, met de meeste nauwgezetheid zal opvolgen; dat ik voorts, tot het verkrijgen van mijn aanstelling, middellijk noch onmiddellijk, onder enige naam of voorwendsel, aan iemand iets heb gegeven of beloofd, en dat ik, om iets in deze betrekking te doen of te laten, van niemand enige beloften of geschenken zal aannemen, middellijk of onmiddellijk. Zo waarlijk helpe mij God almachtig"". (""Dat verklaar en beloof ik"")."
"BurgelijkWetboek01","Wanneer de eed dan wel belofte, bedoeld in het vierde lid, in de Friese taal wordt afgelegd, luidt de tekst van de eed dan wel belofte als volgt:"
"BurgelijkWetboek01","«Ik swar (ûnthjit) dat ik de funksje fan amtner fan de boargerlike stân mei earlikheid en soarchfâldichheid útoefenje sil en dat ik de wetlike foarskriften oangeande de boargerlike stân op ’en sekuersten neikomme sil; dat ik fierders, foar it krijen fan myn oanstelling, streekrjocht noch midlik, ûnder hokker namme of útwynsel dan ek, oan immen eat jûn of tasein haw, en dat ik, om eat yn dizze funksje te dwaan of te litten, fan gjinien tasizzingen of geskinken, likefolle hokker, oannimme sil, midlik of streekrjocht. Sa wier helpe my God almachtich». («Dat ferklearje en ûnthjit ik»)."
"BurgelijkWetboek01","De ambtenaar van de burgerlijke stand is belast met het opnemen in de onder hem berustende registers van de burgerlijke stand van akten en de daaraan toe te voegen latere vermeldingen, alsmede al datgene wat de instandhouding van de registers en de zorg voor de toegankelijkheid van de daarin neergelegde gegevens betreft."
"BurgelijkWetboek01","De buitengewoon ambtenaar van de burgerlijke stand kan uitsluitend worden belast met de taken omschreven in de artikelen 45, 45a, 58, 63, 64, 65, 67, 80a, derde lid, en 80g."
"BurgelijkWetboek01","Wanneer de ambtenaar van de burgerlijke stand in de uitoefening van zijn ambt op grond van enige bepaling van deze titel of van enige andere titel van dit boek in rechte optreedt, kan hij dit zonder advocaat doen."
"BurgelijkWetboek01","Burgemeester en wethouders bepalen de uren, waarop elk bureau van de burgerlijke stand dagelijks voor het publiek geopend zal zijn. Daarbij wordt, ten einde de werkzaamheden van de ambtenaren van de burgerlijke stand op die dagen zoveel mogelijk te beperken, een afzonderlijke regeling getroffen voor de zaterdag, de zondag, de algemeen erkende feestdagen en de overige daarvoor door burgemeester en wethouders aan te wijzen dagen, waarop gemeentelijke diensten niet of slechts gedeeltelijk zijn geopend."
"BurgelijkWetboek01","Bij algemene maatregel van bestuur worden regels gesteld ten aanzien van de door het college van burgemeester en wethouders te treffen voorzieningen ten behoeve van de taakuitoefening door de ambtenaar van de burgerlijke stand, en voorts ten aanzien van al wat verder de taak van de ambtenaar van de burgerlijke stand betreft."
"BurgelijkWetboek01","Er bestaan voor iedere gemeente registers van geboorten, van huwelijken, van geregistreerde partnerschappen en van overlijden."
"BurgelijkWetboek01","Er bestaat in de gemeente 's-Gravenhage, naast de in het eerste lid genoemde registers, een register voor de inschrijving van de in afdeling 6 bedoelde rechterlijke uitspraken."
"BurgelijkWetboek01","De registers van de burgerlijke stand worden in het gemeentehuis bewaard totdat zij naar een gemeentelijke archiefbewaarplaats in de zin van de Archiefwet 1995 (Stb. 276) worden overgebracht."
"BurgelijkWetboek01","De overbrenging naar de gemeentelijke archiefbewaarplaats van de in het gemeentehuis berustende registers van geboorten, van huwelijken dan wel geregistreerde partnerschappen en van overlijden vindt eerst plaats onderscheidenlijk honderd jaar, vijfenzeventig jaar en vijftig jaar na de afsluiting van deze registers."
"BurgelijkWetboek01","De beheerder van een archiefbewaarplaats als bedoeld in artikel 17a is belast met het bewaren van de onder hem berustende registers, met het toevoegen van latere vermeldingen aan de daarin opgenomen akten en met de afgifte van afschriften en uittreksels van deze akten."
"BurgelijkWetboek01","Bij algemene maatregel van bestuur wordt geregeld alles wat verder betreft de inrichting van de registers, alsmede de in artikel 17b genoemde handelingen ten aanzien van die registers."
"BurgelijkWetboek01","De ambtenaar van de burgerlijke stand mag in de akten alleen opnemen hetgeen ingevolge het bij of krachtens de wet bepaalde moet worden verklaard of opgenomen."
"BurgelijkWetboek01","Alvorens tot het opmaken van een akte over te gaan, verifieert de ambtenaar van de burgerlijke stand de door partijen bij de akte verstrekte gegevens door raadpleging van de basisregistratie personen en, zonodig, andere daartoe bestemde registers of bevoegde autoriteiten, zonder daarvoor leges verschuldigd te zijn."
"BurgelijkWetboek01","De ambtenaar van de burgerlijke stand is voorts bevoegd zich, al dan niet in persoon, alle bescheiden te doen vertonen die hij voor het opmaken van de akte of voor de vaststelling van de in de akte op te nemen gegevens noodzakelijk acht."
"BurgelijkWetboek01","Dit lid is nog niet in werking getreden."
"BurgelijkWetboek01","Bij algemene maatregel van bestuur wordt geregeld al hetgeen het opmaken van de akten betreft."
"BurgelijkWetboek01","Partijen bij een akte van de burgerlijke stand zijn degenen die aan de ambtenaar van de burgerlijke stand een aangifte doen of te zijnen overstaan een verklaring afleggen betreffende een feit, waarvan de akte bestemd is te doen blijken."
"BurgelijkWetboek01","Belanghebbende partijen zijn partijen die met hun verklaring enig rechtsgevolg teweeg brengen voor henzelf of voor medepartijen, dan wel voor henzelf en medepartijen."
"BurgelijkWetboek01","De belanghebbende partijen kunnen zich door een daartoe bij authentieke akte gevolmachtigde doen vertegenwoordigen."
"BurgelijkWetboek01","Wanneer een gevolmachtigde een verklaring aflegt, geldt hij zowel als de door hem vertegenwoordigde persoon als partij bij de akte."
"BurgelijkWetboek01","De ambtenaar van de burgerlijke stand mag geen akte verlijden waarin hijzelf als partij of belanghebbende partij voorkomt."
"BurgelijkWetboek01","Voor de betrouwbaarheid en vertrouwelijkheid van de elektronische aangifte alsmede het opmaken en de opslag van een akte in elektronische vorm wordt een systeem van gegevensverwerking gebruikt dat:"
"BurgelijkWetboek01","de ambtenaar van de burgerlijke stand in staat stelt de juistheid van de identiteit van de aangever vast te stellen;"
"BurgelijkWetboek01","de vertrouwelijkheid van de door de aangever verstrekte gegevens waarborgt;"
"BurgelijkWetboek01","waarborgt dat elektronische akten als bedoeld in artikel 18, vierde lid, zodanig blijven opgeslagen dat de inhoud toegankelijk is voor toekomstig gebruik en een ongewijzigde reproductie van de inhoud van de akten gewaarborgd is;"
"BurgelijkWetboek01","waarborgt dat een bericht, elektronisch afschrift of uittreksel volledig is en niet onbevoegdelijk is of kan worden gewijzigd."
"BurgelijkWetboek01","Bij algemene maatregel van bestuur kunnen over het in het eerste lid bepaalde nadere regels worden gesteld."
"BurgelijkWetboek01","Blijft een partij bij een akte van de burgerlijke stand of een belanghebbende partij in gebreke de in artikel 18, derde lid, bedoelde bescheiden over te leggen, of acht de ambtenaar van de burgerlijke stand de overgelegde bescheiden ongenoegzaam, dan weigert deze tot het opmaken van de akte over te gaan."
"BurgelijkWetboek01","De ambtenaar van de burgerlijke stand weigert eveneens tot het opmaken van de akte over te gaan, indien hij van oordeel is dat de Nederlandse openbare orde zich hiertegen verzet."
"BurgelijkWetboek01","Van een weigering als bedoeld in het eerste of het tweede lid doet de ambtenaar van de burgerlijke stand een schriftelijke, met redenen omklede mededeling aan de partijen bij de akte en de belanghebbende partijen toekomen, onder vermelding van de tegen die weigering openstaande voorziening van afdeling 12 van deze titel. Een afschrift van deze mededeling doet hij aan de Immigratie- en Naturalisatiedienst toekomen."
"BurgelijkWetboek01","Van alle in registers opgenomen akten van de burgerlijke stand wordt een dubbel of een afschrift gehouden, volgens regels, bij algemene maatregel van bestuur te stellen."
"BurgelijkWetboek01","Bij algemene maatregel van bestuur wordt geregeld alles wat betreft de bewaring van de dubbelen of de afschriften alsmede van de daarop betrekking hebbende latere vermeldingen."
"BurgelijkWetboek01","Wanneer akten van de burgerlijke stand verloren zijn gegaan of verminkt zijn, wordt ter vervanging van deze akten van de dubbelen van de akten een afschrift gemaakt door een of meer door Onze Minister van Justitie aan te wijzen Centrale Bewaarplaatsen waar de dubbelen bewaard worden. De afschriften treden in de plaats van de verloren gegane of verminkte akten."
"BurgelijkWetboek01","Er wordt een lijst opgesteld van de akten die vervangen worden, die in de Staatscourant wordt gepubliceerd."
"BurgelijkWetboek01","De kosten voor de vervanging van akten van de burgerlijke stand komen ten laste van de Staat, tenzij het de vervanging van akten betreft die bewaard worden door een gemeente. In het laatstgenoemde geval komen de kosten van vervanging voor rekening van de gemeente."
